error_code,jube_wp_iteration,tf_model,nodes,taskspernode,threadspertask,tf_batch_size,imagespersec
0,0,inception3,1,4,1,64,855.52
0,0,inception3,2,4,1,64,1625.16
0,0,inception3,4,4,1,64,3050.86
0,0,inception3,8,4,1,64,5724.9
0,0,inception3,16,4,1,64,10887.68
0,0,inception4,1,4,1,64,420.09
0,0,inception4,2,4,1,64,802.16
0,0,inception4,4,4,1,64,1570.59
0,0,inception4,8,4,1,64,3078.52
0,0,inception4,16,4,1,64,6049.72
0,0,resnet101_v2,1,4,1,64,636.38
0,0,resnet101_v2,2,4,1,64,1083.0
0,0,resnet101_v2,4,4,1,64,2025.51
0,0,resnet101_v2,8,4,1,64,3839.7
0,0,resnet101_v2,16,4,1,64,7332.71
0,0,resnet152_v2,1,4,1,64,458.58
0,0,resnet152_v2,2,4,1,64,787.21
0,0,resnet152_v2,4,4,1,64,1476.65
0,0,resnet152_v2,8,4,1,64,2807.95
0,0,resnet152_v2,16,4,1,64,5347.07
0,0,resnet50_v2,1,4,1,64,1089.57
0,0,resnet50_v2,2,4,1,64,1857.78
0,0,resnet50_v2,4,4,1,64,3471.41
0,0,resnet50_v2,8,4,1,64,6569.32
0,0,resnet50_v2,16,4,1,64,12561.5
0,0,vgg16,1,4,1,64,333.97
0,0,vgg16,2,4,1,64,554.25
0,0,vgg16,4,4,1,64,1021.9
0,0,vgg16,8,4,1,64,1968.7
0,0,vgg16,16,4,1,64,3852.46
0,0,vgg19,1,4,1,64,308.79
0,0,vgg19,2,4,1,64,520.4
0,0,vgg19,4,4,1,64,969.12
0,0,vgg19,8,4,1,64,1857.37
0,0,vgg19,16,4,1,64,3618.13

